cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,imputedFloorWageIndex,name
25060,20200101,00.7652,00.7652,00.0000,,
25180,20200101,00.9038,00.9038,00.0000,,
25220,20200101,00.8313,00.8101,00.0000,,
25260,20200101,01.0463,01.0463,00.0000,,
25420,20200101,00.9524,00.9524,00.0000,,
25500,20200101,00.9451,00.9451,00.0000,,
25540,20200101,01.0860,01.0860,00.0000,,
25620,20200101,00.7573,00.7573,00.0000,,
25860,20200101,00.8792,00.8618,00.0000,,
25940,20200101,00.7750,00.7750,00.0000,,
25980,20200101,00.8916,00.8916,00.0000,,
26140,20200101,00.8234,00.8234,00.0000,,
26300,20200101,00.8480,00.8480,00.0000,,
26380,20200101,00.7500,00.7500,00.0000,,
26420,20200101,01.0021,00.9912,00.0000,,
26580,20200101,00.8392,00.8392,00.0000,,
26620,20200101,00.8266,00.7805,00.0000,,
26820,20200101,00.8758,00.8758,00.0000,,
26900,20200101,01.0106,00.9939,00.0000,,
26980,20200101,00.9754,00.9337,00.0000,,
27060,20200101,00.9053,00.8844,00.0000,,
27100,20200101,00.9187,00.9187,00.0000,,
27140,20200101,00.8004,00.7762,00.0000,,
27180,20200101,00.7609,00.7609,00.0000,,
27260,20200101,00.8737,00.8737,00.0000,,
27340,20200101,00.7514,00.7514,00.0000,,
27500,20200101,00.9065,00.9065,00.0000,,
27620,20200101,00.8494,00.8494,00.0000,,
27740,20200101,00.7028,00.7028,00.0000,,
27780,20200101,00.8107,00.8107,00.0000,,
27860,20200101,00.7952,00.7843,00.0000,,
27900,20200101,00.7741,00.7741,00.0000,,
27980,20200101,01.3024,01.3024,00.0000,,
28020,20200101,01.0110,00.9401,00.0000,,
28100,20200101,00.9025,00.8746,00.0000,,
28140,20200101,00.9262,00.9262,00.0000,,
28420,20200101,01.0172,01.0172,00.0000,,
28660,20200101,00.9860,00.9700,00.0000,,
28700,20200101,00.6759,00.6759,00.0000,,
28740,20200101,00.9016,00.9016,00.0000,,
28940,20200101,00.7145,00.7145,00.0000,,
29020,20200101,00.9403,00.9403,00.0000,,
29100,20200101,00.9731,00.9731,00.0000,,
29180,20200101,00.7773,00.7773,00.0000,,
29200,20200101,00.9691,00.9691,00.0000,,
29340,20200101,00.7641,00.7534,00.0000,,
29404,20200101,01.0395,01.0395,00.0000,,
29420,20200101,00.9849,00.9849,00.0000,,
29460,20200101,00.8028,00.8028,00.0000,,
29540,20200101,00.9016,00.9016,00.0000,,
29620,20200101,00.9889,00.9465,00.0000,,
29700,20200101,00.8005,00.8005,00.0000,,
29740,20200101,00.9028,00.8648,00.0000,,
29820,20200101,01.1570,01.1570,00.0000,,
29940,20200101,00.8455,00.8455,00.0000,,
30020,20200101,00.7620,00.7620,00.0000,,
30140,20200101,00.9357,00.9357,00.0000,,
30300,20200101,00.8433,00.8433,00.0000,,
30340,20200101,00.8708,00.8708,00.0000,,
30460,20200101,00.9060,00.8873,00.0000,,
30620,20200101,00.8668,00.8668,00.0000,,
30700,20200101,00.9553,00.9553,00.0000,,
30780,20200101,00.8069,00.8069,00.0000,,
30860,20200101,00.8996,00.8996,00.0000,,
30980,20200101,00.7900,00.7900,00.0000,,
31020,20200101,01.1597,01.1597,00.0000,,
31084,20200101,01.2918,01.2658,00.0000,,
31140,20200101,00.8885,00.8885,00.0000,,
31180,20200101,00.8408,00.8408,00.0000,,
31340,20200101,00.8616,00.8494,00.0000,,
31420,20200101,00.8510,00.8257,00.0000,,
31460,20200101,00.8004,00.8004,00.0000,,
31540,20200101,01.0565,01.0436,00.0000,,
31700,20200101,00.9822,00.9822,00.0000,,
31740,20200101,00.8957,00.8957,00.0000,,
31860,20200101,01.0449,01.0449,00.0000,,
31900,20200101,00.8591,00.8591,00.0000,,
32420,20200101,00.3421,00.3421,00.0000,,
32580,20200101,00.8408,00.8408,00.0000,,
32780,20200101,01.0747,01.0619,00.0000,,
32820,20200101,00.8670,00.8435,00.0000,,
32900,20200101,01.3241,01.3241,00.0000,,
33124,20200101,00.9474,00.9474,00.0000,,
33140,20200101,00.9309,00.9309,00.0000,,
33220,20200101,00.9096,00.8673,00.0000,,
33260,20200101,00.9994,00.9788,00.0000,,
33340,20200101,00.9607,00.9607,00.0000,,
33460,20200101,01.1215,01.0933,00.0000,,
33540,20200101,00.9271,00.9009,00.0000,,
33660,20200101,00.7566,00.7566,00.0000,,
33700,20200101,01.2765,01.2765,00.0000,,
33740,20200101,00.7873,00.7760,00.0000,,
33780,20200101,00.8851,00.8851,00.0000,,
33860,20200101,00.7559,00.7559,00.0000,,
33874,20200101,00.9880,00.9880,00.0000,,
34060,20200101,00.8277,00.8277,00.0000,,
34100,20200101,00.6870,00.6870,00.0000,,
34580,20200101,01.0185,01.0185,00.0000,,
34620,20200101,00.9228,00.8866,00.0000,,
34740,20200101,00.9401,00.9169,00.0000,,
34820,20200101,00.8405,00.8182,00.0000,,
34900,20200101,01.5493,01.5493,00.0000,,
34940,20200101,00.8670,00.8670,00.0000,,
34980,20200101,00.8787,00.8582,00.0000,,
35004,20200101,01.3525,01.3525,00.0000,,
35084,20200101,01.1208,01.0817,00.0000,,
35100,20200101,00.8234,00.7909,00.0000,,
35300,20200101,01.1754,01.1554,00.0000,,
35380,20200101,00.8236,00.8135,00.0000,,
35614,20200101,01.2866,01.2720,00.0000,,
35660,20200101,00.8598,00.8598,00.0000,,
35840,20200101,00.9205,00.8912,00.0000,,
35980,20200101,01.2426,01.2426,00.0000,,
36084,20200101,01.7353,01.7196,00.0000,,
36100,20200101,00.8178,00.8178,00.0000,,
36140,20200101,01.0956,01.0549,00.0000,,
36220,20200101,00.9062,00.9062,00.0000,,
36260,20200101,00.9031,00.9031,00.0000,,
36420,20200101,00.8814,00.8814,00.0000,,
36500,20200101,01.1324,01.1170,00.0000,,
36540,20200101,00.9219,00.9219,00.0000,,
36740,20200101,00.8733,00.8577,00.0000,,
36780,20200101,00.9108,00.9108,00.0000,,
36980,20200101,00.8726,00.8726,00.0000,,
37100,20200101,01.4370,01.4370,00.0000,,
37340,20200101,00.9255,00.9255,00.0000,,
37460,20200101,00.7972,00.7659,00.0000,,
37620,20200101,00.7179,00.7179,00.0000,,
37860,20200101,00.8327,00.8166,00.0000,,
37900,20200101,00.8623,00.8623,00.0000,,
37964,20200101,01.0962,01.0962,00.0000,,
38060,20200101,00.9835,00.9691,00.0000,,
38220,20200101,00.8252,00.8252,00.0000,,
38300,20200101,00.8482,00.8277,00.0000,,
38340,20200101,01.1057,01.0660,00.0000,,
38540,20200101,00.8817,00.8817,00.0000,,
38660,20200101,00.3731,00.3731,00.0000,,
38860,20200101,01.0411,00.9831,00.0000,,
38900,20200101,01.1708,01.1601,00.0000,,
38940,20200101,00.9087,00.8900,00.0000,,
39140,20200101,00.9799,00.9641,00.0000,,
39300,20200101,01.0371,01.0371,00.0000,,
39340,20200101,00.9205,00.9205,00.0000,,
39380,20200101,00.8046,00.8046,00.0000,,
39460,20200101,00.8593,00.8593,00.0000,,
39540,20200101,00.9269,00.9269,00.0000,,
39580,20200101,00.9483,00.9096,00.0000,,
39660,20200101,00.8428,00.8428,00.0000,,
39740,20200101,01.0070,00.9754,00.0000,,
39820,20200101,01.3627,01.3627,00.0000,,
39900,20200101,00.9124,00.9124,00.0000,,
40060,20200101,00.9038,00.9038,00.0000,,
40140,20200101,01.1822,01.1822,00.0000,,
40220,20200101,00.8903,00.8659,00.0000,,
40340,20200101,01.0635,01.0341,00.0000,,
40380,20200101,00.8437,00.8437,00.0000,,
40420,20200101,00.9751,00.9526,00.0000,,
40484,20200101,01.0129,01.0129,00.0000,,
40580,20200101,00.8403,00.8403,00.0000,,
40660,20200101,00.8670,00.8670,00.0000,,
40900,20200101,01.6206,01.6206,00.0000,,
40980,20200101,00.8889,00.8889,00.0000,,
41060,20200101,00.9937,00.9937,00.0000,,
41100,20200101,00.9458,00.9458,00.0000,,
41140,20200101,00.9883,00.9883,00.0000,,
41180,20200101,00.9260,00.9260,00.0000,,
41420,20200101,01.0874,01.0874,00.0000,,
41500,20200101,01.7740,01.7740,00.0000,,
41540,20200101,00.9219,00.9219,00.0000,,
