cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
37620,20240101,0.7353,0.7353,0.0000,Parkersburg-Vienna WV
37860,20240101,0.7489,0.7489,0.0000,Pensacola-Ferry Pass-Brent FL
37900,20240101,0.8175,0.8175,0.0000,Peoria IL
37964,20240101,1.0604,1.0483,0.0000,Philadelphia PA
38060,20240101,0.9566,0.9352,0.0000,Phoenix-Mesa-Chandler AZ
38220,20240101,0.7320,0.7320,0.0000,Pine Bluff AR
38300,20240101,0.8003,0.7745,0.0000,Pittsburgh PA
38340,20240101,1.0402,0.9593,0.0000,Pittsfield MA
38540,20240101,0.9030,0.8746,0.0000,Pocatello ID
38660,20240101,0.3286,0.3286,0.0000,Ponce PR
38860,20240101,1.0036,0.9630,0.0000,Portland-South Portland ME
38900,20240101,1.1986,1.1789,0.0000,Portland-Vancouver-Hillsboro OR-WA
38940,20240101,0.8317,0.8317,0.0000,Port St. Lucie FL
39100,20240101,1.2555,1.2555,0.0000,Poughkeepsie-Newburgh-Middletown NY
39150,20240101,0.9572,0.9329,0.0000,Prescott Valley-Prescott AZ
39300,20240101,0.9875,0.9875,0.0000,Providence-Warwick RI-MA
39340,20240101,0.8830,0.8830,0.0000,Provo-Orem UT
39380,20240101,0.8330,0.8330,0.0000,Pueblo CO
39460,20240101,0.8247,0.8247,0.0000,Punta Gorda FL
39540,20240101,0.9969,0.9969,0.0000,Racine WI
39580,20240101,0.9325,0.9053,0.0000,Raleigh-Cary NC
39660,20240101,0.8224,0.8224,0.0000,Rapid City SD
39740,20240101,0.8719,0.8719,0.0000,Reading PA
39820,20240101,1.3221,1.3018,0.0000,Redding CA
39900,20240101,0.9222,0.9222,0.0000,Reno NV
40060,20240101,0.8801,0.8801,0.0000,Richmond VA
40140,20240101,1.1826,1.1826,0.0000,Riverside-San Bernardino-Ontario CA
40220,20240101,0.8279,0.8279,0.0000,Roanoke VA
40340,20240101,1.0432,1.0081,0.0000,Rochester MN
40380,20240101,0.8964,0.8964,0.0000,Rochester NY
40420,20240101,0.9222,0.8974,0.0000,Rockford IL
40484,20240101,0.9839,0.9839,0.0000,Rockingham County-Strafford County NH
40580,20240101,0.8703,0.8703,0.0000,Rocky Mount NC
40660,20240101,0.8531,0.8531,0.0000,Rome GA
40900,20240101,1.6037,1.6037,0.0000,Sacramento-Roseville-Folsom CA
40980,20240101,0.8984,0.8984,0.0000,Saginaw MI
41060,20240101,0.9776,0.9776,0.0000,St. Cloud MN
41100,20240101,0.9152,0.9152,0.0000,St. George UT
41140,20240101,0.8915,0.8915,0.0000,St. Joseph MO-KS
41180,20240101,0.9154,0.9154,0.0000,St. Louis MO-IL
