apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
01514,S,20240101,001250.50,00250.10,00250.10
01515,S,20240101,001350.50,00270.10,00270.10
01516,S,20240101,001450.50,00290.10,00290.10
01517,S,20240101,001550.50,00310.10,00310.10
01518,S,20240101,001650.50,00330.10,00330.10
01519,S,20240101,001750.50,00350.10,00350.10
01520,S,20240101,001850.50,00370.10,00370.10
01521,S,20240101,001950.50,00390.10,00390.10
01522,S,20240101,002250.50,00450.10,00450.10
01523,S,20240101,002750.50,00550.10,00550.10
01524,S,20240101,003250.50,00650.10,00650.10
01525,S,20240101,003750.50,00750.10,00750.10
01526,S,20240101,004250.50,00850.10,00850.10
01527,S,20240101,004750.50,00950.10,00950.10
01528,S,20240101,005250.50,01050.10,01050.10
01529,S,20240101,005750.50,01150.10,01150.10
01530,S,20240101,006250.50,01250.10,01250.10
01531,S,20240101,006750.50,01350.10,01350.10
01532,S,20240101,007250.50,01450.10,01450.10
01533,S,20240101,007750.50,01550.10,01550.10
01534,S,20240101,008250.50,01650.10,01650.10
01535,S,20240101,008750.50,01750.10,01750.10
01536,S,20240101,009250.50,01850.10,01850.10
01537,S,20240101,009750.50,01950.10,01950.10
01539,T,20240101,000075.50,00015.10,00015.10
01540,T,20240101,000150.50,00030.10,00030.10
01541,T,20240101,000250.50,00050.10,00050.10
01542,T,20240101,000350.50,00070.10,00070.10
01543,T,20240101,000450.50,00090.10,00090.10
01544,T,20240101,000550.50,00110.10,00110.10
01545,T,20240101,000650.50,00130.10,00130.10
01546,T,20240101,000750.50,00150.10,00150.10
01547,T,20240101,000850.50,00170.10,00170.10
01548,T,20240101,000950.50,00190.10,00190.10
01549,T,20240101,001050.50,00210.10,00210.10
01550,T,20240101,001150.50,00230.10,00230.10
01551,T,20240101,001250.50,00250.10,00250.10
01552,T,20240101,001350.50,00270.10,00270.10
01553,T,20240101,001450.50,00290.10,00290.10
01554,T,20240101,001550.50,00310.10,00310.10
01555,T,20240101,001650.50,00330.10,00330.10
01556,T,20240101,001750.50,00350.10,00350.10
01557,T,20240101,001850.50,00370.10,00370.10
01558,T,20240101,001950.50,00390.10,00390.10
01559,T,20240101,002250.50,00450.10,00450.10
01560,T,20240101,002750.50,00550.10,00550.10
01561,T,20240101,003250.50,00650.10,00650.10
01562,T,20240101,003750.50,00750.10,00750.10
01563,T,20240101,004250.50,00850.10,00850.10
01564,T,20240101,004750.50,00950.10,00950.10
01565,T,20240101,005250.50,01050.10,01050.10
01566,T,20240101,005750.50,01150.10,01150.10
01567,T,20240101,006250.50,01250.10,01250.10
01568,T,20240101,006750.50,01350.10,01350.10
01569,T,20240101,007250.50,01450.10,01450.10
01570,T,20240101,007750.50,01550.10,01550.10
01571,T,20240101,008250.50,01650.10,01650.10
01572,T,20240101,008750.50,01750.10,01750.10
01573,T,20240101,009250.50,01850.10,01850.10
01574,T,20240101,009750.50,01950.10,01950.10
01575,S,20240101,012500.50,02500.10,02500.10
01576,S,20240101,017500.50,03500.10,03500.10
01577,S,20240101,022500.50,04500.10,04500.10
01578,S,20240101,027500.50,05500.10,05500.10
01579,S,20240101,035000.50,07000.10,07000.10
01580,S,20240101,045000.50,09000.10,09000.10
01581,S,20240101,055000.50,11000.10,11000.10
01582,S,20240101,065000.50,13000.10,13000.10
01583,S,20240101,075000.50,15000.10,15000.10
01584,S,20240101,085000.50,17000.10,17000.10
01585,S,20240101,095000.50,19000.10,19000.10
01589,T,20240101,012500.50,02500.10,02500.10
01590,T,20240101,017500.50,03500.10,03500.10
01591,T,20240101,022500.50,04500.10,04500.10
01592,T,20240101,027500.50,05500.10,05500.10
01593,T,20240101,035000.50,07000.10,07000.10
01594,T,20240101,045000.50,09000.10,09000.10
01595,T,20240101,055000.50,11000.10,11000.10
01596,T,20240101,065000.50,13000.10,13000.10
01597,T,20240101,075000.50,15000.10,15000.10
01598,T,20240101,085000.50,17000.10,17000.10
01599,T,20240101,095000.50,19000.10,19000.10
01608,K,20240101,000790.78,00158.16,00158.16
01609,K,20240101,000033.46,00006.70,00006.70
01613,K,20240101,000080.79,00016.16,00016.16
01630,K,20240101,000137.58,00027.52,00027.52
01643,K,20240101,065476.58,13095.32,13095.32
01656,K,20240101,000002.18,00000.44,00000.44
01658,K,20240101,000048.39,00009.68,00009.68
01660,K,20240101,000027.54,00005.51,00005.51
01662,K,20240101,000001.74,00000.35,00000.35
01669,K,20240101,000083.64,00016.73,00016.73
01670,K,20240101,000584.39,00116.88,00116.88
01683,K,20240101,004393.54,00878.71,00878.71
01685,K,20240101,000002.95,00000.59,00000.59
01686,K,20240101,000007.09,00001.42,00001.42
01687,K,20240101,004593.57,00918.72,00918.72
01688,K,20240101,000469.26,00093.86,00093.86
01689,K,20240101,000006.61,00001.33,00001.33
01690,K,20240101,000031.40,00006.28,00006.28
01694,K,20240101,000009.04,00001.81,00001.81
01696,K,20240101,000026.51,00005.31,00005.31
01700,K,20240101,000041.74,00008.35,00008.35
01701,K,20240101,000056.01,00011.21,00011.21
01704,K,20240101,000001.35,00000.27,00000.27
01705,K,20240101,000002.41,00000.49,00000.49
01710,K,20240101,000023.29,00004.66,00004.66
01711,K,20240101,005166.29,01033.26,01033.26
01712,K,20240101,000014.79,00002.96,00002.96
01745,K,20240101,000157.91,00031.59,00031.59
01746,K,20240101,000017.10,00003.43,00003.43
01747,K,20240101,000728.29,00145.66,00145.66
01748,K,20240101,000000.42,00000.09,00000.09
01761,K,20240101,000001.73,00000.35,00000.35
01809,K,20240101,002292.77,00458.56,00458.56
01822,K,20240101,000000.17,00000.04,00000.04
01823,K,20240101,000015.21,00003.05,00003.05
01824,K,20240101,000003.86,00000.78,00000.78
01825,K,20240101,000095.44,00019.09,00019.09
01826,K,20240101,000016.89,00003.38,00003.38
01827,K,20240101,000003.22,00000.65,00000.65
01829,K,20240101,000020.16,00004.04,00004.04
01832,K,20240101,000681.74,00136.35,00136.35
01836,K,20240101,000040.94,00008.19,00008.19
01844,K,20240101,000002.03,00000.41,00000.41
01846,K,20240101,000001.30,00000.26,00000.26
01847,K,20240101,000013.93,00002.79,00002.79
01848,K,20240101,000130.37,00026.08,00026.08
01849,K,20240101,000059.07,00011.82,00011.82
01850,K,20240101,000048.77,00009.76,00009.76
01851,K,20240101,000487.66,00097.54,00097.54
01852,K,20240101,001819.71,00363.95,00363.95
01853,K,20240101,000002.47,00000.50,00000.50
01856,K,20240101,000001.31,00000.27,00000.27
01857,K,20240101,000009.11,00001.83,00001.83
01859,K,20240101,000001.21,00000.25,00000.25
01861,K,20240101,000015.86,00003.18,00003.18
01862,K,20240101,000000.54,00000.11,00000.11
01901,S,20240101,107500.50,21500.10,21500.10
01902,T,20240101,107500.50,21500.10,21500.10
01903,S,20240101,122500.50,24500.10,24500.10
01904,T,20240101,122500.50,24500.10,24500.10
01905,S,20240101,137500.50,27500.10,27500.10
01906,T,20240101,137500.50,27500.10,27500.10
01907,S,20240101,152500.50,30500.10,30500.10
01908,T,20240101,152500.50,30500.10,30500.10
02033,H,20240101,000000.00,00000.00,00000.00
02034,H,20240101,000000.00,00000.00,00000.00
02035,H,20240101,000000.00,00000.00,00000.00
02036,H,20240101,000000.00,00000.00,00000.00
02038,H,20240101,000000.00,00000.00,00000.00
02039,H,20240101,000000.00,00000.00,00000.00
02040,H,20240101,000000.00,00000.00,00000.00
02041,H,20240101,000000.00,00000.00,00000.00
02042,H,20240101,000000.00,00000.00,00000.00
02043,H,20240101,000000.00,00000.00,00000.00
02044,H,20240101,000000.00,00000.00,00000.00
02045,H,20240101,000000.00,00000.00,00000.00
02616,U,20240101,017194.89,03438.98,03438.98
02632,U,20240101,000060.21,00012.05,00012.05
02634,U,20240101,000150.97,00030.20,00030.20
02635,U,20240101,000059.19,00011.84,00011.84
02636,U,20240101,000054.12,00010.83,00010.83
02638,U,20240101,000041.82,00008.37,00008.37
02639,U,20240101,000034.99,00007.00,00007.00
02640,U,20240101,000076.27,00015.26,00015.26
02641,U,20240101,000073.93,00014.79,00014.79
02642,U,20240101,000097.61,00019.53,00019.53
02643,U,20240101,000080.42,00016.09,00016.09
02645,U,20240101,000271.19,00054.24,00054.24
02646,U,20240101,000347.33,00069.47,00069.47
02647,U,20240101,000348.79,00069.76,00069.76
02648,U,20240101,000004.69,00000.94,00000.94
02698,U,20240101,000041.82,00008.37,00008.37
02699,U,20240101,000034.99,00007.00,00007.00
02731,K,20240101,000076.57,00015.32,00015.32
02770,K,20240101,000493.97,00098.80,00098.80
04001,S,20240101,000142.23,00028.45,00028.45
04002,S,20240101,000052.61,00010.53,00010.53
04003,S,20240101,000147.33,00029.47,00029.47
04004,S,20240101,000120.87,00024.18,00024.18
04005,S,20240101,000121.18,00024.24,00024.24
04006,S,20240101,000120.23,00024.05,00024.05
04007,S,20240101,000220.04,00044.01,00044.01
04008,S,20240101,000166.79,00033.36,00033.36
04009,S,20240101,000166.47,00033.30,00033.30
04010,S,20240101,000165.18,00033.04,00033.04
04011,S,20240101,000219.41,00043.89,00043.89
04012,S,20240101,000219.72,00043.95,00043.95
04013,S,20240101,000220.68,00044.14,00044.14
04014,S,20240101,000219.08,00043.82,00043.82
04015,S,20240101,000340.59,00068.12,00068.12
04016,S,20240101,000338.99,00067.80,00067.80
05012,V,20240101,000126.08,00025.22,00025.22
05021,V,20240101,000084.68,00016.94,00016.94
05022,V,20240101,000155.99,00031.20,00031.20
05023,V,20240101,000272.14,00054.43,00054.43
05024,V,20240101,000422.44,00084.49,00084.49
05025,V,20240101,000612.63,00122.53,00122.53
05031,V,20240101,000071.54,00014.31,00014.31
05032,V,20240101,000116.17,00023.24,00023.24
05033,V,20240101,000190.78,00038.16,00038.16
05034,V,20240101,000280.95,00056.19,00056.19
05035,V,20240101,000363.55,00072.71,00072.71
05041,S,20240101,000846.36,00169.28,00169.28
05045,S,20240101,001305.84,00261.17,00261.17
05051,T,20240101,000190.94,00038.19,00038.19
05052,T,20240101,000380.32,00076.07,00076.07
05053,T,20240101,000599.02,00119.81,00119.81
05054,T,20240101,001739.33,00347.87,00347.87
05055,T,20240101,003421.82,00684.37,00684.37
05061,S,20240101,000073.64,00014.73,00014.73
05071,T,20240101,000671.05,00134.21,00134.21
05072,J1,20240101,001546.35,00309.27,00309.27
05073,J1,20240101,002710.16,00542.04,00542.04
05091,J1,20240101,003635.56,00727.12,00727.12
05092,J1,20240101,006219.70,01243.94,01243.94
05093,J1,20240101,008990.96,01798.20,01798.20
05094,J1,20240101,016807.48,03361.50,03361.50
05101,T,20240101,000150.29,00030.06,00030.06
05102,T,20240101,000256.15,00051.23,00051.23
05111,T,20240101,000224.92,00044.99,00044.99
05112,J1,20240101,001532.92,00306.59,00306.59
05113,J1,20240101,003087.24,00617.45,00617.45
