cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
36084,20230101,1.7995,1.7702,0,Oakland-Berkeley-Livermore CA
36100,20230101,0.8556,0.8556,0,Ocala FL
36140,20230101,1.0217,1.0029,0,Ocean City NJ
36220,20230101,0.8485,0.8485,0,Odessa TX
36260,20230101,0.8982,0.8982,0,Ogden-Clearfield UT
36420,20230101,0.8625,0.8625,0,Oklahoma City OK
36500,20230101,1.1046,1.1046,0,Olympia-Lacey-Tumwater WA
36540,20230101,0.9628,0.9628,0,Omaha-Council Bluffs NE-IA
36740,20230101,0.8803,0.8657,0,Orlando-Kissimmee-Sanford FL
36780,20230101,0.9221,0.9221,0,Oshkosh-Neenah WI
36980,20230101,0.8682,0.8682,0,Owensboro KY
37100,20230101,1.425,1.425,0,Oxnard-Thousand Oaks-Ventura CA
37340,20230101,0.8764,0.8764,0,Palm Bay-Melbourne-Titusville FL
37460,20230101,0.8528,0.7781,0,Panama City FL
37620,20230101,0.7893,0.7893,0,Parkersburg-Vienna WV
37860,20230101,0.7924,0.7924,0,Pensacola-Ferry Pass-Brent FL
37900,20230101,0.8558,0.8558,0,Peoria IL
37964,20230101,1.0828,1.0828,0,Philadelphia PA
38060,20230101,0.9634,0.941,0,Phoenix-Mesa-Chandler AZ
38220,20230101,0.7417,0.7417,0,Pine Bluff AR
38300,20230101,0.8296,0.809,0,Pittsburgh PA
38340,20230101,1.0403,0.9481,0,Pittsfield MA
38540,20230101,0.9082,0.9082,0,Pocatello ID
38660,20230101,0.3423,0.3423,0,Ponce PR
38860,20230101,1.0278,1.0278,0,Portland-South Portland ME
38900,20230101,1.1985,1.1792,0,Portland-Vancouver-Hillsboro OR-WA
38940,20230101,0.8915,0.8915,0,Port St. Lucie FL
39100,20230101,1.209,1.209,0,Poughkeepsie-Newburgh-Middletown NY
39150,20230101,0.9767,0.893,0,Prescott Valley-Prescott AZ
39300,20230101,1.0291,1.0291,0,Providence-Warwick RI-MA
