apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
09528,R,20210101,000480.04,00096.01,00096.01
09529,R,20210101,000154.16,00030.84,00030.84
09530,R,20210101,000617.33,00123.47,00123.47
09531,R,20210101,000447.31,00089.47,00089.47
09532,R,20210101,000260.59,00052.12,00052.12
09533,R,20210101,000243.87,00048.78,00048.78
09534,R,20210101,000053.10,00010.62,00010.62
09535,R,20210101,000122.82,00024.57,00024.57
09536,R,20210101,000583.87,00116.78,00116.78
09537,R,20210101,000007.99,00001.60,00001.60
09538,R,20211001,000065.70,00013.14,00013.14
09539,R,20211001,000079.85,00015.97,00015.97
